14501,STUDIO PROBLEMS IN INTERIOR DESIGN I ,ID,TECH 11083.,,Studio problems in interior design is a course for the beginning student whose interest is in interior space design.,2011
14512,INTERIOR DESIGN GRAPHICS I ,ID,Interior Design (ID) major.,,"Studio based course introducing concepts of architectural drawing and sketching techniques including plan, elevation, section and perspective.",2011
24502,STUDIO PROBLEMS IN INTERIOR DESIGN II ,ID,Interior design (ID) major and ID 14501.,,"Special problems dealing with design of residential and related spaces, traffic flow, placement of furnishings, emphasis on color and textural experience and lighting of space. Practical, integrated approach.",2011
24510,TEXTILES IN THE BUILT ENVIRONMENT ,ID,interior design (ID) major.,ID 34503.,"A concise background in textile science is estalishe3d with a hands-on approach to the evaluation, selection and application of textiles by interior design professionals and architects.",2011
24511,HOUSING IN TODAY'S SOCIETY ,ID,,,"Relationships of well-being of individuals and families in the life cycle for a well-planned residence. Evaluation of housing, planning, financing and modern technological developments.",2011
24513,SURVEY HISTORY OF INTERIORS ,ID,,,"Chronological study of housing and furnishings from ancient civilizations to present, emphasizing cultural and social forces that contributed to evolution of various styles.",2011
24522,INTERIOR DESIGN GRAPHICS II ,ID,ID 14501 and ID 14512 and ID 24502.,,"Studio based course continuation of ID 14512. Exploration of color, media and graphic representation of interior design materials and environments.",2011
34503,STUDIO PROBLEMS IN INTERIOR DESIGN III ,ID,ID 24502.,,Special problems concerning design of small to moderate size commercial interior space.,2011
34504,STUDIO PROBLEMS IN INTERIOR DESIGN IV ,ID,ARCH 10101 and ID 34503; and pre/corequisite PHY 13001.,PHY 13001.,Introduction to large scale planning.,2011
34512,HOME FURNISHINGS ,ID,,,Practical and aesthetic study of interiors. Selection and arrangement of furnishings.,2011
34515,COMPUTER AIDED DESIGN FOR INTERIOR DESIGNERS ,ID,interior design (ID) major.,ID 34503.,Introduction to application of computer drawing and drafting techniques used in interior design. Study of two dimensional and three dimensional techniques as well as symbol libraries.,2011
34522,METHODS AND MATERIALS FOR INTERIOR DESIGN ,ID,interior design (ID) major.,ID 24502.,"Information regarding the manufacture, construction and application of materials used in interior design. Proper methods and installation procedures of both surface materials and furnishings required in the profession are explored.",2011
41093,VARIABLE TITLE WORKSHOP IN INTERIOR DESIGN ,ID,Interior design (ID) major.,,Workshops dealing with variable topics related to the interior design profession. Learning experiences provided in a broad spectrum of specialties.,2011
41095,SPECIAL TOPICS IN INTERIOR DESIGN ,ID,Interior design (ID) major.,,Discussion of a major topic or issue within the profession of interior design. Repeat registration permitted.,2011
41096,INDIVIDUAL INVESTIGATION IN INTERIOR DESIGN ,ID,Interior design (ID) major.,,Independent study of interior design and related topics under the guidance of a faculty member.,2011
44505,STUDIO PROBLEMS IN INTERIOR DESIGN V ,ID,ID 34504 and ID 44534.,ID 44535.,Introduction to principles of historic design focusing on hands-on and on-site design techniques. For interior design majors only.,2011
44506,STUDIO PROBLEMS IN INTERIOR DESIGN VI ,ID,TECH 31015 and ID 44505.,ARCH 30501.,Special problems concerning the design of large-scale commercial environments.,2011
44507,STUDIO PROBLEMS IN INTERIOR DESIGN VII ,ID,ID 44506 and ARCH 30501.,,This course will provide the opportunity for a senior design thesis. Problems will be selected by the students and will represent their own area of interest.,2011
44512,HISTORIC FURNISHING TEXTILES ,ID,ID 44534 and ID 44535.,,"Designed to acclimate students to historic textiles created primarily for use in interior architecture. Focus is on aesthetics, design and construction. A comprehensive adaptive reuse or restoration project is required.",2011
44523,INTERIOR DESIGN PROFESSIONAL PRACTICE ,ID,ID 34504.,,A study of the business and professional practices of interior designers.,2011
44524,"ANGLO-AMERICAN DOMESTIC INTERIORS, EARLY COLONIAL PERIOD ",ID,ID 44512.,,An in-depth study of the Anglo-American interior and domestic furnishings with concentration on the preservation and contemporary usage of both interior architectural spaces and domestic objects.,2011
44525,LIGHTING APPLICATION IN INTERIOR SPACES ,ID,ID 34503.,,Design application of lighting technology for various interior spaces. Field trips to study lighting installations.,2011
44526,LIGHTING DESIGN IN HISTORIC SPACES ,ID,ID 44505 and ID 44525 and ARCH 30501.,,"Overview of historic lighting forms and techniques with an emphasis on Anglo-American design,18th to 20th centuries. Focus of course will be application of modern techniques to historic design problems.",2011
44527,STUDY TOURS ,ID,junior or senior standing.,,"A series of study tours for in-depth, first-hand experiences of historic sites, markets, manufacturing facilities and attendance at product seminars.",2011
44534,HISTORY OF INTERIORS TO 1600 ,ID,ID 34504; and ARTH 22006 and ARTH 22007; or ARCH 10011 and ARCH 10012; and special approval.,,A chronological study of housing and furnishings from civilization to the 15th century.,2011
44535,HISTORY OF INTERIORS-1600 TO PRESENT ,ID,ID 44534.,,A chronological study of housing and furnishings from the Renaissance to the Victorian Period-16th to 19th centuries and 20th century.,2011
44592,PRACTICUM IN INTERIOR DESIGN ,ID,ID 34504 and ID 44523 and MKTG 25010.,,"Practical experience in a furniture store, department store, design studio, architect's office or design-related agency directed by a qualified professional. Students' initial registration must be 4 hours not to exceed 10 credit hours. Repeatable for a total of 10 hours.",2011
51093,VARIABLE TITLE WORKSHOP IN INTERIOR DESIGN ,ID,Interior design (ID) major and graduate standing.,,Workshop topics dealing with variable topics related to the interior design profession. Learning experiences are provided in a wide range of areas.,2011
51095,SPECIAL TOPICS IN INTERIOR DESIGN ,ID,Interior design (ID) major and graduate standing.,,Discussion of a major topic or issue within the profession of interior design. Repeat registration permitted.,2011
51096,INDIVIDUAL INVESTIGATION IN INTERIOR DESIGN ,ID,Interior design (ID) major and graduate standing.,,Independent study of interior design and related topics under the guidance of a faculty member.,2011
54512,HISTORIC FURNISHING TEXTILES ,ID,ID 44534 and ID 44535 and graduate standing.,,"Designed to acclimate students to historic textiles created primarily for use in interior architecture. Focus is on aesthetics, design and construction. A comprehensive adaptive reuse or restoration project is required.",2011
54524,ANGLO-AMERICAN INTERIORS ,ID,Graduate standing and ID 44512.,,An in-depth study of the Anglo-American interior and domestic furnishings with concentration on the preservation and contemporary usage of both interior architectural spaces and domestic objects.,2011
54534,HISTORY OF INTERIORS TO 1600 ,ID,Graduate standing and special approval and ID 34504; and ARTH 22006 and ARTH 22007; or ARCH 20001 and ARCH 20002.,,A chronological study of housing and furnishings from civilization to the 15th century.,2011
54535,HISTORY OF INTERIORS 1600 TO PRESENT ,ID,ID 54534 and graduate standing.,,"A chronological study of housing and furnishings from the Renaissance to the Victorian Period, sixteenth to nineteenth centuries and twentieth century.",2011
